Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category,FullName,User ID
752858,Sean,Rodriguez,F,20/10/2002,35.47,2024-09-06,Smith-Russell,Cosmetic,Sean Rodriguez,USER__001
988259,Nathan,Snyder,M,26/10/1977,11.31,2024-10-11,"Wilson, Wilson and Russell",Cosmetic,Nathan Snyder,USER__002
521807,Kelsey,Pena,F,28/10/1968,161.39,2024-12-09,Miller PLC,Cosmetic,Kelsey Pena,USER__003
504238,Denise,Porter,M,31/10/1957,77.73,2024-09-29,Jackson-Morgan,Restaurant,Denise Porter,USER__004
583532,Alexander,Richardson,F,27/10/1974,142.85,2024-09-18,"Blake, Mays and Anderson",Clothing,Alexander Richardson,USER__005
924841,Kimberly,Ball,M,26/10/1976,928.68,2024-10-02,"Miller, Walker and Bond",Travel,Kimberly Ball,USER__006
840546,Julie,Russell,M,28/10/1968,142.07,2024-10-10,Taylor-Morrow,Cosmetic,Julie Russell,USER__007
683760,Amber,Brown,M,19/10/2004,54.31,2024-09-28,Underwood-Contreras,Cosmetic,Amber Brown,USER__008
777948,Amy,Pierce,F,29/10/1966,79.57,2024-10-14,Rodriguez Ltd,Restaurant,Amy Pierce,USER__009
943548,Daniel,Pitts,,22/10/1995,39.87,2024-12-28,Shaw-Elliott,Clothing,Daniel Pitts,USER__010
6905,Jessica,White,M,25/10/1981,366.56,2024-10-07,"Berry, Reeves and Best",Market,Jessica White,USER__011
28347,Pamela,Nguyen,M,26/10/1978,148.26,2024-12-29,Schwartz-Stephens,Cosmetic,Pamela Nguyen,USER__012
355400,Aaron,Martinez,F,26/10/1978,631.18,2024-12-27,Padilla-Greene,Travel,Aaron Martinez,USER__013
796123,Darlene,Tucker,M,1/11/1953,1745.4,2024-09-12,Manning Inc,Travel,Darlene Tucker,USER__014
11697,Jason,Johnson,F,20/10/2001,2423.86,2024-09-23,King-Wright,Travel,Jason Johnson,USER__015
599093,Thomas,Salas,,31/10/1956,57.83,2024-11-15,Jimenez Inc,Electronics,Thomas Salas,USER__016
261654,Kevin,Harris,,26/10/1977,147.43,2025-01-03,Thomas LLC,Cosmetic,Kevin Harris,USER__017
232533,Jose,Gould,M,31/10/1958,128.67,2024-10-14,Sanders PLC,Cosmetic,Jose Gould,USER__018
59223,Lisa,Ross,F,2/11/1949,711.74,2024-11-14,Diaz LLC,Travel,Lisa Ross,USER__019
652558,Melanie,Greene,F,22/10/1995,16.68,2025-01-09,Barnes-Walton,Cosmetic,Melanie Greene,USER__020
344613,Michelle,Kim,F,31/10/1957,185.8,2024-09-10,Nguyen-Bradley,Cosmetic,Michelle Kim,USER__021
779830,Ann,Sullivan,F,1/11/1955,130.7,2024-11-18,Hester-Greer,Cosmetic,Ann Sullivan,USER__022
805732,Sabrina,White,F,25/10/1980,2612.99,2024-10-26,"Woodard, Boyd and Mays",Travel,Sabrina White,USER__023
982485,Leslie,Campbell,,25/10/1982,139.2,2024-12-05,"White, Hensley and Hayes",Market,Leslie Campbell,USER__024
396758,Ashley,Carr,M,26/10/1976,12.26,2024-10-06,Howard-Miller,Restaurant,Ashley Carr,USER__025
289003,John,Woods,F,31/10/1957,1949.03,2024-11-26,Stephens-Shelton,Travel,John Woods,USER__026
697024,Michael,Hines,,30/10/1961,76.6,2024-09-08,Oconnor PLC,Cosmetic,Michael Hines,USER__027
273487,David,Morrison,F,20/10/2002,21.85,2024-11-02,Yu and Sons,Restaurant,David Morrison,USER__028
828224,Jennifer,Quinn,M,2/11/1949,154.36,2024-12-24,Phillips Inc,Market,Jennifer Quinn,USER__029
410859,Christy,Ramos,F,22/10/1995,50.69,2024-11-21,Rogers-Levy,Market,Christy Ramos,USER__030
526718,Douglas,Martin,M,29/10/1967,1616.19,2024-11-06,"Jackson, Ray and Cooper",Travel,Douglas Martin,USER__031
143865,Fernando,Oliver,F,31/10/1956,246.62,2024-09-18,Patterson-Davenport,Market,Fernando Oliver,USER__032
838514,Andrew,Armstrong,M,19/10/2004,231.35,2024-09-04,Miller Inc,Clothing,Andrew Armstrong,USER__033
726123,Alexander,Li,,20/10/2000,202.12,2024-09-18,Patel LLC,Market,Alexander Li,USER__034
95898,Raymond,Ayala,M,28/10/1969,58.75,2024-09-10,Webster and Sons,Restaurant,Raymond Ayala,USER__035
