Transaction Date,Transaction Amount,Merchant,User ID,Full Name,Product Category
2025-01-07,12.0,Interac Transfer,USER__001,Sean Rodriguez,
2024-12-20,6.1302,Amazon,USER__002,Nathan Snyder,
2024-12-27,13.44,Uber,USER__003,Kelsey Pena,
2025-01-10,12.0,Home Depot,USER__004,Denise Porter,
2024-12-29,15.6648,Best Buy,USER__005,Alexander Richardson,
2025-01-03,14.4648,Lyft,USER__006,Kimberly Ball,
2025-01-10,7.128,Shell,USER__007,Julie Russell,
2024-12-31,360.0,Home Depot,USER__008,Amber Brown,
2024-12-17,5.77632,Amazon,USER__009,Amy Pierce,
2024-12-17,45.0,Lyft,USER__010,Daniel Pitts,
2024-12-24,12.576,Amazon,USER__011,Jessica White,
2025-01-07,14.28,Amazon,USER__012,Pamela Nguyen,
2024-12-14,6.0,Walmart,USER__013,Aaron Martinez,
2024-12-12,16.296,Target,USER__014,Darlene Tucker,
2025-01-08,14.4,eBay,USER__015,Jason Johnson,
2024-12-30,5.46,Walmart,USER__016,Thomas Salas,
2024-12-12,5.4,Best Buy,USER__017,Kevin Harris,
2024-12-26,6.6,Amazon,USER__018,Jose Gould,
2024-12-16,23.88,Amazon,USER__019,Lisa Ross,
2025-01-11,156.6,Walmart,USER__020,Melanie Greene,
2025-01-06,24.888,Target,USER__001,Sean Rodriguez,
2024-12-21,30.54,Lyft,USER__002,Nathan Snyder,
2024-12-31,24.0,Interac Transfer,USER__003,Kelsey Pena,
2024-12-14,14.5632,Shell,USER__004,Denise Porter,
2024-12-27,8.004,Uber,USER__005,Alexander Richardson,
2024-12-21,258.0,Best Buy,USER__006,Kimberly Ball,
2025-01-12,15.0,Amazon,USER__007,Julie Russell,
2024-12-21,6.0,Interac Transfer,USER__008,Amber Brown,
2024-12-21,12.0,Interac Transfer,USER__009,Amy Pierce,
2025-01-06,5.4,Amazon,USER__010,Daniel Pitts,
2024-12-29,9.588,Uber,USER__011,Jessica White,
2024-12-19,6.3,Interac Transfer,USER__012,Pamela Nguyen,
2024-12-18,8.4,Best Buy,USER__013,Aaron Martinez,
2024-12-18,5.028,Best Buy,USER__014,Darlene Tucker,
2024-12-12,14.808,Shell,USER__015,Jason Johnson,
2024-12-29,9.588,Interac Transfer,USER__016,Thomas Salas,
2025-01-09,5.976,Interac Transfer,USER__017,Kevin Harris,
2025-01-08,6.936,Home Depot,USER__018,Jose Gould,
2024-12-29,5.76,Interac Transfer,USER__019,Lisa Ross,
2024-12-26,5.316,Best Buy,USER__020,Melanie Greene,
2024-12-14,31.2,eBay,USER__001,Sean Rodriguez,
2025-01-09,21.396,Walmart,USER__002,Nathan Snyder,
2025-01-10,43.176,Interac Transfer,USER__003,Kelsey Pena,
2025-01-07,11.7228,Walmart,USER__004,Denise Porter,
2024-12-13,9.168,eBay,USER__005,Alexander Richardson,
2024-12-13,516.0,Amazon,USER__006,Kimberly Ball,
2024-12-25,12.108,Starbucks,USER__007,Julie Russell,
2024-12-17,600.0,Home Depot,USER__008,Amber Brown,
2024-12-29,9.576,Target,USER__009,Amy Pierce,
2025-01-07,8.88,Target,USER__010,Daniel Pitts,
2024-12-15,5.4,Interac Transfer,USER__011,Jessica White,
2024-12-26,20.988,Best Buy,USER__012,Pamela Nguyen,
2024-12-21,340.8,Amazon,USER__013,Aaron Martinez,
2024-12-24,6.0,Interac Transfer,USER__014,Darlene Tucker,
2024-12-23,6.06,Shell,USER__015,Jason Johnson,
2025-01-06,10.536,Shell,USER__016,Thomas Salas,
2024-12-30,9.6,Target,USER__017,Kevin Harris,
2025-01-09,272.4,Shell,USER__018,Jose Gould,
2025-01-06,120.0,Uber,USER__019,Lisa Ross,
2024-12-17,12.0,Target,USER__020,Melanie Greene,
2025-01-04,32.388,Walmart,USER__001,Sean Rodriguez,
2024-12-24,5.232,Lyft,USER__002,Nathan Snyder,
2025-01-04,6.288,Amazon,USER__003,Kelsey Pena,
2024-12-14,9.24,Interac Transfer,USER__004,Denise Porter,
2025-01-03,9.54588,Amazon,USER__005,Alexander Richardson,
2024-12-26,6.0,Walmart,USER__006,Kimberly Ball,
2024-12-25,15.996,Amazon,USER__007,Julie Russell,
2024-12-12,14.772,Amazon,USER__008,Amber Brown,
2025-01-11,7.2,Amazon,USER__009,Amy Pierce,
2024-12-26,28.656,Amazon,USER__010,Daniel Pitts,
2025-01-02,6.72,Uber,USER__011,Jessica White,
2025-01-05,6.696,eBay,USER__012,Pamela Nguyen,
2024-12-30,16.8,Best Buy,USER__013,Aaron Martinez,
2025-01-09,7.68,eBay,USER__014,Darlene Tucker,
2024-12-23,36.0,Lyft,USER__015,Jason Johnson,
2024-12-21,62.4,Uber,USER__016,Thomas Salas,
2024-12-25,10.2,Shell,USER__017,Kevin Harris,
2025-01-06,60.0,Interac Transfer,USER__018,Jose Gould,
2024-12-15,6.048,Best Buy,USER__019,Lisa Ross,
2024-12-25,6.828,Walmart,USER__020,Melanie Greene,
2025-01-02,16.8,Amazon,USER__001,Sean Rodriguez,
2024-12-26,10.74,Shell,USER__002,Nathan Snyder,
2025-01-10,12.0,eBay,USER__003,Kelsey Pena,
2024-12-28,36.0,Home Depot,USER__004,Denise Porter,
2025-01-03,6.672,Lyft,USER__005,Alexander Richardson,
2024-12-24,36.6,Amazon,USER__006,Kimberly Ball,
2025-01-11,240.0,eBay,USER__007,Julie Russell,
2024-12-23,24.78,Lyft,USER__008,Amber Brown,
2025-01-03,30.54,Target,USER__009,Amy Pierce,
2025-01-10,6.48,Target,USER__010,Daniel Pitts,
2024-12-21,6.48,Amazon,USER__011,Jessica White,
2025-01-09,18.0,Interac Transfer,USER__012,Pamela Nguyen,
2025-01-04,7.86,Target,USER__013,Aaron Martinez,
2024-12-15,11.952,Walmart,USER__014,Darlene Tucker,
2024-12-27,7.46016,Best Buy,USER__015,Jason Johnson,
